Model_Name,weight
Lung_Age_081221_0,-1.1551714
Lung_Age_081221_1,0.0
Lung_Age_081221_2,2.0036473
Lung_Age_081221_3,-1.6726215
Lung_Age_081221_4,1.8010226
Lung_Age_081221_5,-0.4853279
Lung_Age_081221_6,0.0
Lung_Age_081221_7,0.0
Lung_Age_081221_8,0.0
Lung_Age_081221_9,-0.2161772
Lung_Age_081221_10,0.9842884
Lung_Age_081221_11,0.0
Lung_Age_081221_12,-0.1226132
Lung_Age_081221_13,0.0
Lung_Age_081221_14,2.9479456
Lung_Age_081221_15,2.7946917
Lung_Age_081221_16,-0.8413967
Lung_Age_081221_17,2.7057807
Lung_Age_081221_18,0.9817661
Lung_Age_081221_19,0.0
